"creditcardid","cardtype"
14053,Distinguish
11311,SuperiorCard
2460,Vista
12796,ColonialVoice
15420,Distinguish
2894,Vista
13014,ColonialVoice
5962,Distinguish
15053,Distinguish
8369,SuperiorCard
11894,Distinguish
4924,ColonialVoice
8594,Distinguish
5281,Distinguish
19230,Distinguish
3192,Vista
10850,Distinguish
221,Vista
19221,ColonialVoice
8035,ColonialVoice
693,Vista
18987,Distinguish
6272,ColonialVoice
3460,ColonialVoice
10478,SuperiorCard
19075,Vista
13900,Vista
17802,ColonialVoice
15043,Vista
6072,SuperiorCard
4286,SuperiorCard
10537,ColonialVoice
8504,ColonialVoice
18014,ColonialVoice
14717,Distinguish
6663,Vista
2814,Vista
10421,SuperiorCard
10259,SuperiorCard
16904,ColonialVoice
642,ColonialVoice
10325,ColonialVoice
9423,SuperiorCard
17861,Distinguish
13743,SuperiorCard
18043,ColonialVoice
2238,ColonialVoice
13551,Vista
8306,Vista
6192,ColonialVoice
10806,Vista
11651,Distinguish
3293,Vista
6164,ColonialVoice
2938,Vista
12454,Vista
16259,Vista
536,Vista
8941,SuperiorCard
5326,ColonialVoice
13544,ColonialVoice
18757,Distinguish
6207,ColonialVoice
3447,Vista
4031,SuperiorCard
8038,SuperiorCard
5104,Vista
15065,Distinguish
10220,Vista
1777,Distinguish
13834,SuperiorCard
12073,Vista
15698,Distinguish
842,Vista
6832,Vista
9853,Vista
18090,Distinguish
5507,Distinguish
5004,Distinguish
6044,Distinguish
11048,ColonialVoice
1543,SuperiorCard
8650,ColonialVoice
9472,Distinguish
9440,ColonialVoice
1368,Vista
261,ColonialVoice
17470,ColonialVoice
9186,ColonialVoice
10030,Distinguish
18885,Distinguish
5848,SuperiorCard
13119,ColonialVoice
3599,Distinguish
18253,Distinguish
6581,Distinguish
8376,Vista
2469,SuperiorCard
715,ColonialVoice
6705,ColonialVoice
1676,SuperiorCard
6758,Vista
13197,SuperiorCard
2102,Distinguish
1372,ColonialVoice
2847,Vista
16783,Distinguish
17007,ColonialVoice
10656,ColonialVoice
3794,Vista
10337,SuperiorCard
174,ColonialVoice
12802,ColonialVoice
17978,SuperiorCard
14810,ColonialVoice
2803,ColonialVoice
12130,Distinguish
13909,Vista
7994,SuperiorCard
15903,Distinguish
1458,ColonialVoice
2708,ColonialVoice
4457,Distinguish
4136,Vista
9091,ColonialVoice
2906,ColonialVoice
1412,Distinguish
4385,ColonialVoice
4481,ColonialVoice
5272,Vista
11010,Vista
1708,Distinguish
15195,Vista
6063,Vista
16854,SuperiorCard
10322,Vista
18470,SuperiorCard
331,Distinguish
17137,ColonialVoice
15978,Distinguish
3665,SuperiorCard
17198,SuperiorCard
9239,SuperiorCard
5573,Vista
15232,Vista
13926,SuperiorCard
10412,SuperiorCard
1337,Distinguish
2264,ColonialVoice
18634,ColonialVoice
11395,ColonialVoice
16030,Vista
7316,Vista
18222,Vista
3299,ColonialVoice
9482,Distinguish
8080,ColonialVoice
16077,Distinguish
18919,SuperiorCard
229,SuperiorCard
6166,ColonialVoice
12650,Vista
11790,SuperiorCard
5020,Vista
6894,Distinguish
585,Vista
13777,Vista
5145,Distinguish
9618,ColonialVoice
10969,Distinguish
513,SuperiorCard
10910,SuperiorCard
14196,SuperiorCard
13992,ColonialVoice
6982,SuperiorCard
3406,Distinguish
10556,Vista
441,SuperiorCard
9335,Vista
7022,Distinguish
17053,Vista
4892,SuperiorCard
1120,Distinguish
8365,Vista
16609,ColonialVoice
13734,ColonialVoice
9649,SuperiorCard
626,Distinguish
18334,Vista
12036,ColonialVoice
15415,Vista
16690,ColonialVoice
15083,Distinguish
1276,ColonialVoice
19131,SuperiorCard
2187,ColonialVoice
16878,Distinguish
384,ColonialVoice
18303,SuperiorCard
14813,SuperiorCard
11981,ColonialVoice
7972,Distinguish
13538,Vista
3205,ColonialVoice
12317,Vista
8625,ColonialVoice
11073,Vista
15383,ColonialVoice
12371,SuperiorCard
3868,ColonialVoice
9104,SuperiorCard
12621,Distinguish
13077,ColonialVoice
17633,Distinguish
17182,ColonialVoice
15289,Distinguish
11211,Distinguish
4991,ColonialVoice
5441,ColonialVoice
8018,Distinguish
6709,ColonialVoice
18369,Vista
14268,SuperiorCard
16380,Vista
8720,Vista
14640,Vista
5102,Distinguish
15932,Vista
11456,ColonialVoice
18644,SuperiorCard
1885,Vista
7987,ColonialVoice
5944,Distinguish
8601,ColonialVoice
154,ColonialVoice
6343,SuperiorCard
18912,Vista
16241,Distinguish
6867,ColonialVoice
2828,ColonialVoice
14921,Vista
10087,SuperiorCard
4704,ColonialVoice
7622,ColonialVoice
5354,ColonialVoice
11423,SuperiorCard
2609,ColonialVoice
7485,ColonialVoice
6738,ColonialVoice
12646,Vista
4261,ColonialVoice
15399,SuperiorCard
17291,Vista
18663,Distinguish
10798,Distinguish
1671,Vista
6234,Vista
10124,SuperiorCard
9663,SuperiorCard
10088,ColonialVoice
1041,ColonialVoice
16419,Vista
3954,Distinguish
6020,Vista
5169,Vista
14094,Vista
4284,ColonialVoice
6981,Vista
4354,Distinguish
18001,SuperiorCard
13898,Distinguish
5288,Distinguish
18866,SuperiorCard
12858,ColonialVoice
8361,Vista
10027,Distinguish
10389,Vista
12612,ColonialVoice
2662,Vista
940,Distinguish
13512,ColonialVoice
1937,Vista
10966,ColonialVoice
17547,SuperiorCard
8108,ColonialVoice
5863,Distinguish
16908,SuperiorCard
2256,SuperiorCard
1659,SuperiorCard
1038,SuperiorCard
5390,Distinguish
11130,ColonialVoice
13836,SuperiorCard
13556,SuperiorCard
4163,Vista
1395,ColonialVoice
12981,Distinguish
18723,SuperiorCard
17799,Vista
6385,Distinguish
9117,SuperiorCard
4301,Vista
12528,SuperiorCard
11476,SuperiorCard
17787,SuperiorCard
13765,SuperiorCard
7384,ColonialVoice
6324,Distinguish
5089,SuperiorCard
1075,ColonialVoice
13745,ColonialVoice
14098,ColonialVoice
6726,SuperiorCard
2686,SuperiorCard
16375,ColonialVoice
2584,Distinguish
5091,Distinguish
11567,Distinguish
2471,Vista
12656,SuperiorCard
10799,SuperiorCard
8011,ColonialVoice
16384,Distinguish
156,Vista
5517,SuperiorCard
9415,Distinguish
5181,ColonialVoice
10437,ColonialVoice
